Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11208,2022-03-16,-0.001487004,-0.060991232,-0.065002596,21,100
Market-Adjusted Model,11264,2022-03-16,0.068562741,0.0618358563,0.0050471486,21,100
Market-Adjusted Model,11267,2022-03-16,-0.15418519,-0.222005226,-0.217700782,21,100
Market-Adjusted Model,11275,2022-03-16,-0.099999977,-0.159308218,-0.16351557,21,100
Market-Adjusted Model,11285,2022-03-16,0.0009400584,-0.05761996,-0.062575534,21,100
Market-Adjusted Model,11292,2022-03-16,0.1262190811,0.0665489867,0.0627034887,21,100
Market-Adjusted Model,11293,2022-03-16,0.0107114394,-0.050093798,-0.052804153,21,100
Market-Adjusted Model,11308,2022-03-16,0.0114181447,-0.050873142,-0.052097448,21,100
Market-Adjusted Model,11343,2022-03-16,0.0254872361,-0.038655706,-0.038028356,21,100
Market-Adjusted Model,11368,2022-03-16,-0.046653131,-0.095703949,-0.110168723,21,100
Market-Adjusted Model,11369,2022-03-16,0.0295135147,-0.031478494,-0.034002078,21,100
Market-Adjusted Model,11370,2022-03-16,0.0001352395,-0.061521013,-0.063380353,21,100
Market-Adjusted Model,11379,2022-03-16,0.248175186,0.1871806626,0.1846595936,21,70
Market-Adjusted Model,11394,2022-03-16,0.0590608089,0.0612183084,-0.004454783,21,100
Market-Adjusted Model,11397,2022-03-16,0.0260986492,-0.036291504,-0.037416943,21,100
Market-Adjusted Model,11403,2022-03-16,0.0849000143,0.0257795696,0.0213844219,21,100
Market-Adjusted Model,11404,2022-03-16,0.1095104967,0.041083562,0.0459949043,21,100
Market-Adjusted Model,11407,2022-03-16,0.0260651066,-0.030758973,-0.037450486,21,100
Market-Adjusted Model,11442,2022-03-16,0.0142118662,-0.047960588,-0.049303726,21,100
Market-Adjusted Model,11481,2022-03-16,0.3579877118,0.3421343236,0.2944721194,21,100
Market-Adjusted Model,11499,2022-03-16,0.0317757161,-0.022788377,-0.031739876,21,100
Market-Adjusted Model,11511,2022-03-16,0.2312312285,0.2540698779,0.1677156361,21,100
Market-Adjusted Model,11533,2022-03-16,0.0031548401,-0.05478689,-0.060360752,21,100
Market-Adjusted Model,11547,2022-03-16,0.0354182506,-0.026265894,-0.028097342,21,100
Market-Adjusted Model,11565,2022-03-16,-0.009340959,-0.065131255,-0.072856551,21,100
Market-Adjusted Model,11581,2022-03-16,0.2755162181,0.1841125206,0.2120006257,21,100
Market-Adjusted Model,11587,2022-03-16,-0.018562948,-0.078155907,-0.08207854,21,100
Market-Adjusted Model,11593,2022-03-16,0.0665281006,0.0023303696,0.0030125082,21,100
Market-Adjusted Model,11600,2022-03-16,-0.086167889,-0.151380278,-0.149683482,21,100
Market-Adjusted Model,11618,2022-03-16,0.1580682202,0.0840922794,0.0945526278,21,100
Market-Adjusted Model,11628,2022-03-16,0.0111711511,-0.048853138,-0.052344441,21,100
Market-Adjusted Model,11636,2022-03-16,-0.011294538,-0.047922666,-0.07481013,21,100
Market-Adjusted Model,11644,2022-03-16,0.4909090464,0.3626990387,0.427393454,21,100
Market-Adjusted Model,11654,2022-03-16,0.034111319,-0.026429273,-0.029404273,21,100
