Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,15643,2022-03-16,0.1006043466,0.0567573338,0.0370887542,21,100
Market-Adjusted Model,15645,2022-03-16,0.2911391785,0.2103561976,0.2276235861,21,100
Market-Adjusted Model,15646,2022-03-16,-0.004629623,-0.051413113,-0.068145216,21,100
Market-Adjusted Model,15647,2022-03-16,0.0037226585,-0.060340011,-0.059792934,21,100
Market-Adjusted Model,15649,2022-03-16,0.0415772611,-0.019728322,-0.021938331,21,100
Market-Adjusted Model,15650,2022-03-16,0.0759720529,0.0167280907,0.0124564605,21,100
Market-Adjusted Model,15651,2022-03-16,-0.002262413,-0.063626608,-0.065778005,21,100
Market-Adjusted Model,15653,2022-03-16,0.017843629,-0.031098404,-0.045671963,21,100
Market-Adjusted Model,15654,2022-03-16,-0.147634608,-0.213443218,-0.2111502,21,100
Market-Adjusted Model,15655,2022-03-16,-0.031551559,-0.094615172,-0.095067151,21,100
Market-Adjusted Model,15656,2022-03-16,-0.029272652,-0.075881407,-0.092788245,21,100
Market-Adjusted Model,15657,2022-03-16,0.0598271819,-0.004018842,-0.003688411,21,100
Market-Adjusted Model,15658,2022-03-16,0.2495273473,0.1756492179,0.1860117549,21,100
Market-Adjusted Model,15662,2022-03-16,0.1558832092,0.1002725135,0.0923676168,21,100
Market-Adjusted Model,15663,2022-03-16,0.106822734,0.0387190307,0.0433071416,21,100
Market-Adjusted Model,15664,2022-03-16,0.0312500396,-0.0066848,-0.032265553,21,100
Market-Adjusted Model,15666,2022-03-16,-0.015869784,-0.07656087,-0.079385376,21,100
Market-Adjusted Model,15673,2022-03-16,0.0178689915,-0.043601127,-0.045646601,21,100
Market-Adjusted Model,15674,2022-03-16,0.0209003396,-0.037197487,-0.042615253,21,100
Market-Adjusted Model,15677,2022-03-16,-0.002036334,-0.061894884,-0.065551926,21,100
Market-Adjusted Model,15678,2022-03-16,0.0637436486,-0.00016014,0.0002280562,21,100
Market-Adjusted Model,15680,2022-03-16,0.0190374197,-0.044375224,-0.044478173,21,100
Market-Adjusted Model,15681,2022-03-16,-0.000771028,-0.064859062,-0.06428662,21,100
Market-Adjusted Model,15685,2022-03-16,0.0694156299,0.0042350839,0.0059000374,21,100
Market-Adjusted Model,15686,2022-03-16,0.0644802573,0.0003863204,0.0009646649,21,100
Market-Adjusted Model,15687,2022-03-16,0.050493049,-0.012512045,-0.013022543,21,100
Market-Adjusted Model,15688,2022-03-16,0.0444254408,-0.015542655,-0.019090152,21,100
Market-Adjusted Model,15689,2022-03-16,0.060808208,-0.001508576,-0.002707384,21,100
Market-Adjusted Model,15690,2022-03-16,0.0572806436,-0.006832501,-0.006234949,21,100
Market-Adjusted Model,15693,2022-03-16,0.0511288503,-0.008700784,-0.012386742,21,100
Market-Adjusted Model,15694,2022-03-16,-0.033040542,-0.087803079,-0.096556135,21,100
Market-Adjusted Model,15695,2022-03-16,0.0303312866,-0.031258612,-0.033184306,21,100
Market-Adjusted Model,15696,2022-03-16,0.0679611424,0.0031295065,0.00444555,21,100
Market-Adjusted Model,15697,2022-03-16,0.0670880729,0.0030715321,0.0035724805,21,100
Market-Adjusted Model,15698,2022-03-16,0.0693967272,0.0049912425,0.0058811348,21,100
Market-Adjusted Model,15699,2022-03-16,0.0680691866,0.0040788162,0.0045535942,21,100
Market-Adjusted Model,15702,2022-03-16,0.0532437622,-0.004991481,-0.01027183,21,100
Market-Adjusted Model,15707,2022-03-16,0.1295748873,0.0653624425,0.0660592949,21,100
Market-Adjusted Model,15710,2022-03-16,0.0544554284,-0.003911144,-0.009060164,21,100
Market-Adjusted Model,15718,2022-03-16,-0.083123852,-0.144103245,-0.146639445,21,100
Market-Adjusted Model,15719,2022-03-16,0.0420030857,-0.02127808,-0.021512507,21,100
Market-Adjusted Model,15720,2022-03-16,0.1022780429,0.0348918592,0.0387624505,21,100
Market-Adjusted Model,15722,2022-03-16,0.0590507909,-0.004580314,-0.004464802,21,100
Market-Adjusted Model,15724,2022-03-16,-0.077417048,-0.124540662,-0.14093264,21,100
Market-Adjusted Model,15725,2022-03-16,0.0718501174,0.0083636072,0.008334525,21,100
Market-Adjusted Model,15726,2022-03-16,0.0581771259,-0.005728234,-0.005338466,21,100
Market-Adjusted Model,15729,2022-03-16,0.4116955218,0.2976481915,0.3481799294,21,100
Market-Adjusted Model,15731,2022-03-16,0.0765973075,0.0105915907,0.013081715,21,100
Market-Adjusted Model,15732,2022-03-16,0.0925043742,0.0259341855,0.0289887818,21,100
Market-Adjusted Model,15735,2022-03-16,0.0609651174,0.0073708425,-0.002550475,21,100
Market-Adjusted Model,15774,2022-03-16,0.065604997,0.0028653508,0.0020894046,21,100
Market-Adjusted Model,15775,2022-03-16,0.1807228918,0.1182569895,0.1172072994,21,100
Market-Adjusted Model,15776,2022-03-16,0.1652422355,0.1113263295,0.1017266431,21,100
Market-Adjusted Model,15778,2022-03-16,-0.012333599,-0.068334105,-0.075849191,21,100
Market-Adjusted Model,15779,2022-03-16,-0.217514122,-0.261891805,-0.281029714,21,100
Market-Adjusted Model,15782,2022-03-16,0.1618246298,0.0943468535,0.0983090374,21,100
Market-Adjusted Model,15784,2022-03-16,0.0642978281,0.0243639519,0.0007822357,21,100
Market-Adjusted Model,15785,2022-03-16,-0.026552662,-0.089090818,-0.090068254,21,100
Market-Adjusted Model,15787,2022-03-16,0.1730769958,0.1253333125,0.1095614034,21,100
Market-Adjusted Model,15789,2022-03-16,0.0431815746,0.0009752442,-0.020334018,21,100
Market-Adjusted Model,15791,2022-03-16,-0.233333344,-0.274409302,-0.296848936,21,100
Market-Adjusted Model,15793,2022-03-16,0.1289821207,0.0960325327,0.0654665283,21,93
Market-Adjusted Model,15795,2022-03-16,0.0168993718,-0.035960809,-0.046616221,21,100
Market-Adjusted Model,15796,2022-03-16,-0.095652187,0.0698157259,-0.159167779,21,100
Market-Adjusted Model,15802,2022-03-16,0.0382278097,-0.01969871,-0.025287783,21,100
Market-Adjusted Model,15814,2022-03-16,0.0574730598,-0.006367713,-0.006042533,21,100
Market-Adjusted Model,15815,2022-03-16,0.0326049597,-0.029841219,-0.030910633,21,100
Market-Adjusted Model,15817,2022-03-16,0.0564568644,-0.006598454,-0.007058728,21,100
Market-Adjusted Model,15823,2022-03-16,0.0431037525,-0.019012251,-0.02041184,21,100
Market-Adjusted Model,15826,2022-03-16,0.1113755975,0.0915977874,0.0478600051,21,100
Market-Adjusted Model,15830,2022-03-16,0.0669526376,0.0014665142,0.0034370452,21,100
Market-Adjusted Model,15831,2022-03-16,0.2918012141,0.2233457729,0.2282856217,21,100
Market-Adjusted Model,15833,2022-03-16,-0.189126456,-0.249590005,-0.252642048,21,100
Market-Adjusted Model,15837,2022-03-16,-0.07833087,-0.136016423,-0.141846462,21,100
Market-Adjusted Model,15838,2022-03-16,0.0702452283,0.0073160455,0.0067296359,21,100
Market-Adjusted Model,15839,2022-03-16,0.0453388153,-0.017701963,-0.018176777,21,100
Market-Adjusted Model,15840,2022-03-16,0.1119769677,0.0470383762,0.0484613753,21,100
Market-Adjusted Model,15842,2022-03-16,0.0191387558,-0.04332694,-0.044376837,21,100
Market-Adjusted Model,15845,2022-03-16,0.0163814892,-0.042982534,-0.047134103,21,100
Market-Adjusted Model,15846,2022-03-16,0.3485441786,0.2561421018,0.2850285862,21,100
Market-Adjusted Model,15847,2022-03-16,0.0062539323,-0.041263928,-0.05726166,21,100
Market-Adjusted Model,15848,2022-03-16,0.0617283942,0.0342330933,-0.001787198,21,100
Market-Adjusted Model,15849,2022-03-16,-0.001757682,-0.065813326,-0.065273275,21,100
Market-Adjusted Model,15850,2022-03-16,0.0027169223,-0.034652791,-0.06079867,21,100
Market-Adjusted Model,15853,2022-03-16,0.0791738789,0.0133284032,0.0156582865,21,100
Market-Adjusted Model,15854,2022-03-16,-0.155807367,-0.168756131,-0.219322959,21,100
Market-Adjusted Model,15855,2022-03-16,0.046705083,-0.016865672,-0.016810509,21,100
Market-Adjusted Model,15856,2022-03-16,0.9999999909,0.738012624,0.9364843985,21,100
Market-Adjusted Model,15857,2022-03-16,-0.158995847,-0.204031097,-0.222511439,21,100
Market-Adjusted Model,15859,2022-03-16,0.0611828849,-0.003524709,-0.002332708,21,100
Market-Adjusted Model,15860,2022-03-16,3.682883E-10,-0.060287284,-0.063515592,21,100
Market-Adjusted Model,15862,2022-03-16,0.0557064878,0.0336679528,-0.007809105,21,100
Market-Adjusted Model,15863,2022-03-16,0.0827586278,0.0713433196,0.0192430354,21,100
Market-Adjusted Model,15884,2022-03-16,0.1364605233,0.0781940586,0.0729449309,21,100
Market-Adjusted Model,15887,2022-03-16,0.0025209088,-0.060321217,-0.060994684,21,100
Market-Adjusted Model,15888,2022-03-16,0.1000187959,0.0349064731,0.0365032035,21,100
Market-Adjusted Model,15889,2022-03-16,0.0604165563,-0.004229214,-0.003099036,21,100
Market-Adjusted Model,15890,2022-03-16,0.054567277,-0.008796406,-0.008948315,21,100
Market-Adjusted Model,15891,2022-03-16,0.0709874736,0.0056405413,0.0074718812,21,100
Market-Adjusted Model,15892,2022-03-16,0.06949292,0.0054007695,0.0059773276,21,100
Market-Adjusted Model,15896,2022-03-16,0.0390625503,0.0229334939,-0.024453042,21,100
Market-Adjusted Model,15902,2022-03-16,-0.0098684,-0.04144056,-0.073383993,21,100
Market-Adjusted Model,15903,2022-03-16,0.0505130778,-0.014098187,-0.013002515,21,100
Market-Adjusted Model,15904,2022-03-16,-0.079607846,-0.132700442,-0.143123438,21,100
Market-Adjusted Model,15906,2022-03-16,0.0125984133,-0.050029045,-0.050917179,21,100
Market-Adjusted Model,15909,2022-03-16,-0.015068084,-0.04883218,-0.078583677,21,100
Market-Adjusted Model,15912,2022-03-16,-0.012863441,-0.072136847,-0.076379033,21,100
Market-Adjusted Model,15913,2022-03-16,-0.052959537,-0.033663317,-0.116475129,21,100
Market-Adjusted Model,15914,2022-03-16,0.3449198312,0.2769087191,0.2814042388,21,100
Market-Adjusted Model,15917,2022-03-16,-0.007269265,-0.071315908,-0.070784857,21,100
Market-Adjusted Model,15919,2022-03-16,-0.013330503,-0.062485679,-0.076846095,21,100
Market-Adjusted Model,15920,2022-03-16,-0.100520633,-0.15979517,-0.164036225,21,100
Market-Adjusted Model,15921,2022-03-16,0.0004214171,-0.063644186,-0.063094175,21,100
Market-Adjusted Model,15922,2022-03-16,-0.007805093,-0.065949181,-0.071320685,21,100
Market-Adjusted Model,15927,2022-03-16,0.0830660381,0.0182447232,0.0195504457,21,100
Market-Adjusted Model,15930,2022-03-16,0.0504946089,-0.013628135,-0.013020984,21,100
Market-Adjusted Model,15936,2022-03-16,-0.047222633,-0.047522759,-0.110738225,21,100
Market-Adjusted Model,15937,2022-03-16,0.1160663663,0.0713962334,0.0525507739,21,100
Market-Adjusted Model,15943,2022-03-16,0.3714286853,0.3110356876,0.3079130929,21,100
Market-Adjusted Model,15945,2022-03-16,0.0304542864,-0.030088692,-0.033061306,21,100
Market-Adjusted Model,15946,2022-03-16,0.0275301381,-0.032005998,-0.035985454,21,100
Market-Adjusted Model,15948,2022-03-16,0.0239508154,-0.039124446,-0.039564777,21,100
Market-Adjusted Model,15950,2022-03-16,0.5185184657,0.5234384966,0.4550028733,21,100
Market-Adjusted Model,15956,2022-03-16,-0.006622502,-0.040710327,-0.070138095,21,100
Market-Adjusted Model,15960,2022-03-16,-0.076470581,-0.125050838,-0.139986173,21,100
Market-Adjusted Model,15961,2022-03-16,-0.224543058,-0.287486617,-0.288058651,21,100
Market-Adjusted Model,15965,2022-03-16,0.0388864877,-0.023607027,-0.024629105,21,100
Market-Adjusted Model,15969,2022-03-16,-0.293319015,-0.348580754,-0.356834608,21,100
Market-Adjusted Model,15971,2022-03-16,0.1008645324,0.0451222878,0.03734894,21,100
Market-Adjusted Model,15972,2022-03-16,0.0574388509,-0.006325473,-0.006076742,21,100
Market-Adjusted Model,15973,2022-03-16,0.0694804831,0.0043296126,0.0059648906,21,100
Market-Adjusted Model,15976,2022-03-16,0.0740971738,0.0228954361,0.0105815814,21,100
Market-Adjusted Model,15977,2022-03-16,0.0342161637,-0.028227654,-0.029299429,21,100
Market-Adjusted Model,15978,2022-03-16,-0.031400874,-0.07915997,-0.094916467,21,100
Market-Adjusted Model,15979,2022-03-16,0.0377161226,-0.025293686,-0.02579947,21,100
Market-Adjusted Model,15980,2022-03-16,0.0523560352,-0.001944414,-0.011159557,21,100
Market-Adjusted Model,15981,2022-03-16,0.0088694551,-0.04859122,-0.054646137,21,100
Market-Adjusted Model,15984,2022-03-16,0.0313993801,-0.023068147,-0.032116212,21,100
Market-Adjusted Model,15985,2022-03-16,0.0471543933,-0.01317307,-0.016361199,21,100
Market-Adjusted Model,15986,2022-03-16,0.0035849631,-0.058454444,-0.059930629,21,100
Market-Adjusted Model,15987,2022-03-16,0.1070296184,0.042877542,0.043514026,21,100
Market-Adjusted Model,15988,2022-03-16,0.0949735608,0.0287549841,0.0314579684,21,100
Market-Adjusted Model,15989,2022-03-16,0.1113564658,0.0425038716,0.0478408734,21,100
Market-Adjusted Model,15992,2022-03-16,0.0345446529,-0.029091042,-0.02897094,21,100
Market-Adjusted Model,15993,2022-03-16,0.0531262445,-0.010475024,-0.010389348,21,100
Market-Adjusted Model,15994,2022-03-16,0.0478265597,-0.014387783,-0.015689033,21,100
Market-Adjusted Model,15995,2022-03-16,0.0790960406,0.0423971467,0.0155804482,21,100
Market-Adjusted Model,15996,2022-03-16,0.1217323784,0.0531624292,0.058216786,21,100
Market-Adjusted Model,15997,2022-03-16,0.1284440844,0.0592387389,0.064928492,21,100
Market-Adjusted Model,15998,2022-03-16,-0.046588296,-0.108565518,-0.110103889,21,100
Market-Adjusted Model,15999,2022-03-16,-0.047970105,-0.108976629,-0.111485697,21,100
Market-Adjusted Model,16000,2022-03-16,-0.042425484,-0.104124519,-0.105941076,21,100
Market-Adjusted Model,16005,2022-03-16,-0.112403087,-0.117225539,-0.17591868,21,100
Market-Adjusted Model,16006,2022-03-16,0.0669558494,0.0031127399,0.003440257,21,100
Market-Adjusted Model,16007,2022-03-16,-0.075268837,-0.093170841,-0.13878443,21,100
Market-Adjusted Model,16008,2022-03-16,0.0870368473,0.0247461235,0.0235212549,21,100
Market-Adjusted Model,16009,2022-03-16,0.0063817233,-0.043575538,-0.057133869,21,100
Market-Adjusted Model,16012,2022-03-16,-0.160156197,-0.214210104,-0.223671789,21,100
Market-Adjusted Model,16015,2022-03-16,0.0039575891,-0.058570915,-0.059558003,21,100
Market-Adjusted Model,16017,2022-03-16,0.048850812,-0.012547905,-0.01466478,21,100
Market-Adjusted Model,16018,2022-03-16,0.0423200449,-0.013879199,-0.021195548,21,100
Market-Adjusted Model,16019,2022-03-16,0.0369018593,-0.014617635,-0.026613733,21,100
Market-Adjusted Model,16020,2022-03-16,-0.169631521,-0.198744347,-0.233147113,21,100
Market-Adjusted Model,16021,2022-03-16,-0.027777858,-0.083664205,-0.091293451,21,100
Market-Adjusted Model,16034,2022-03-16,-0.02469133,-0.077844714,-0.088206923,21,100
Market-Adjusted Model,16042,2022-03-16,0.0511468437,-0.010301535,-0.012368749,21,100
Market-Adjusted Model,16043,2022-03-16,0.1369862348,0.1056501773,0.0734706424,21,100
Market-Adjusted Model,16044,2022-03-16,-0.01722834,-0.067928394,-0.080743933,21,100
Market-Adjusted Model,16048,2022-03-16,0.0080462011,-0.040802273,-0.055469391,21,100
Market-Adjusted Model,16049,2022-03-16,-0.100299346,-0.147696047,-0.163814939,21,100
Market-Adjusted Model,16052,2022-03-16,0.0313726062,-0.017866274,-0.032142986,21,100
Market-Adjusted Model,16055,2022-03-16,-0.000410101,-0.060407533,-0.063925693,21,100
Market-Adjusted Model,16057,2022-03-16,0.0468033846,-0.015010271,-0.016712208,21,100
Market-Adjusted Model,16059,2022-03-16,0.0725446766,0.0076878149,0.0090290842,21,100
Market-Adjusted Model,16060,2022-03-16,0.0447186686,-0.015257541,-0.018796924,21,100
Market-Adjusted Model,16062,2022-03-16,-0.068820199,-0.1190142,-0.132335792,21,100
Market-Adjusted Model,16063,2022-03-16,0.0407142655,-0.021751465,-0.022801327,21,100
Market-Adjusted Model,16064,2022-03-16,-0.096055075,-0.124474281,-0.159570667,21,100
Market-Adjusted Model,16066,2022-03-16,-0.025540291,-0.052435903,-0.089055884,21,100
Market-Adjusted Model,16068,2022-03-16,-0.070719245,-0.088762982,-0.134234837,21,100
Market-Adjusted Model,16069,2022-03-16,0.2147766309,0.1565386037,0.1512610385,21,100
Market-Adjusted Model,16070,2022-03-16,-0.109489031,-0.16247606,-0.173004623,21,100
Market-Adjusted Model,16071,2022-03-16,0.0973334942,0.038767655,0.0338179018,21,100
Market-Adjusted Model,16075,2022-03-16,0.1176164255,0.0537971557,0.0541008331,21,100
Market-Adjusted Model,16076,2022-03-16,-0.038670946,-0.086516412,-0.102186539,21,100
Market-Adjusted Model,16077,2022-03-16,0.0978260617,0.0363535169,0.0343104693,21,100
Market-Adjusted Model,16080,2022-03-16,0.0624312352,-0.002077998,-0.001084357,21,100
Market-Adjusted Model,16082,2022-03-16,-0.021100579,-0.075075565,-0.084616172,21,100
Market-Adjusted Model,16083,2022-03-16,-0.000291456,-0.05612809,-0.063807049,21,100
Market-Adjusted Model,16084,2022-03-16,-0.007042265,-0.053715232,-0.070557857,21,100
Market-Adjusted Model,16087,2022-03-16,-0.019412871,-0.077708574,-0.082928463,21,100
Market-Adjusted Model,16090,2022-03-16,0.6442953026,0.5475479887,0.5807797102,21,100
Market-Adjusted Model,16092,2022-03-16,0.0425235921,-0.018984581,-0.020992,21,100
Market-Adjusted Model,16093,2022-03-16,0.0005363499,-0.057886563,-0.062979242,21,100
Market-Adjusted Model,16094,2022-03-16,-0.008217205,-0.071929997,-0.071732797,21,100
Market-Adjusted Model,16097,2022-03-16,-0.023562036,-0.082511162,-0.087077629,21,100
Market-Adjusted Model,16098,2022-03-16,-0.007110165,-0.070817595,-0.070625757,21,100
Market-Adjusted Model,16099,2022-03-16,0.2826086853,0.2047684538,0.2190930929,21,100
Market-Adjusted Model,16100,2022-03-16,-0.168514421,-0.231819736,-0.232030014,21,100
Market-Adjusted Model,16104,2022-03-16,0.1845238567,0.1148008114,0.1210082643,21,100
Market-Adjusted Model,16107,2022-03-16,0.0171472855,-0.043477126,-0.046368307,21,100
Market-Adjusted Model,16108,2022-03-16,-0.315217406,-0.406240839,-0.378732998,21,100
Market-Adjusted Model,16111,2022-03-16,-0.015037663,-0.027846476,-0.078553256,21,100
Market-Adjusted Model,16112,2022-03-16,0.0967741724,0.0551630443,0.03325858,21,100
Market-Adjusted Model,16113,2022-03-16,0.0625811703,-0.001976636,-0.000934422,21,100
Market-Adjusted Model,16114,2022-03-16,0.0658071646,0.0004259411,0.0022915721,21,100
Market-Adjusted Model,16115,2022-03-16,-0.022885301,-0.087041618,-0.086400894,21,100
Market-Adjusted Model,16119,2022-03-16,0.0044074414,-0.048608171,-0.059108151,21,100
Market-Adjusted Model,16120,2022-03-16,0.4545453737,0.3949457734,0.3910297813,21,100
Market-Adjusted Model,16122,2022-03-16,0.0383537649,-0.025145657,-0.025161827,21,100
Market-Adjusted Model,16123,2022-03-16,0.0606865425,-0.00417273,-0.00282905,21,100
Market-Adjusted Model,16126,2022-03-16,0.0175989984,-0.045114637,-0.045916594,21,100
Market-Adjusted Model,16128,2022-03-16,-0.070129866,-0.134653141,-0.133645458,21,100
Market-Adjusted Model,16130,2022-03-16,0.04996553,-0.013856485,-0.013550062,21,100
Market-Adjusted Model,16131,2022-03-16,-0.014581271,-0.076913634,-0.078096863,21,100
Market-Adjusted Model,16132,2022-03-16,0.0370846691,-0.026523274,-0.026430923,21,100
Market-Adjusted Model,16135,2022-03-16,0.0403650236,-0.023226202,-0.023150569,21,100
Market-Adjusted Model,16136,2022-03-16,0.0663710439,0.0021997729,0.0028554515,21,100
Market-Adjusted Model,16139,2022-03-16,0.0090069539,-0.043572229,-0.054508639,21,100
Market-Adjusted Model,16140,2022-03-16,-0.006422315,-0.043690074,-0.069937907,21,100
Market-Adjusted Model,16143,2022-03-16,0.1042911696,0.0388399892,0.0407755772,21,100
Market-Adjusted Model,16145,2022-03-16,-0.011605396,-0.044271627,-0.075120988,21,100
Market-Adjusted Model,16146,2022-03-16,0.0974729168,0.0923567757,0.0339573244,21,100
Market-Adjusted Model,16156,2022-03-16,0.00630919,-0.052016491,-0.057206402,21,100
Market-Adjusted Model,16158,2022-03-16,0.0161836774,-0.048005027,-0.047331915,21,100
Market-Adjusted Model,16161,2022-03-16,0.1452992232,0.1556427074,0.0817836308,21,100
Market-Adjusted Model,16164,2022-03-16,0.0764705915,0.0284447894,0.0129549991,21,100
Market-Adjusted Model,16166,2022-03-16,0.0661185035,0.0018124773,0.0026029111,21,100
Market-Adjusted Model,16167,2022-03-16,0.0580881435,-0.005197925,-0.005427449,21,100
Market-Adjusted Model,16171,2022-03-16,0.0919523682,0.0270752943,0.0284367758,21,100
Market-Adjusted Model,16172,2022-03-16,0.0633366186,-0.00021661,-0.000178974,21,100
Market-Adjusted Model,16173,2022-03-16,-0.265715873,-0.257460869,-0.329231466,21,100
Market-Adjusted Model,16178,2022-03-16,0.036045526,-0.005384063,-0.027470066,21,100
Market-Adjusted Model,16179,2022-03-16,-0.145640981,-0.167698982,-0.209156573,21,100
Market-Adjusted Model,16181,2022-03-16,-0.020408154,-0.00345301,-0.083923746,21,100
Market-Adjusted Model,16182,2022-03-16,-0.032466491,-0.06850537,-0.095982083,21,100
Market-Adjusted Model,16183,2022-03-16,0.3220000281,0.2450267603,0.2584844357,21,100
Market-Adjusted Model,16186,2022-03-16,2.749685E-10,-0.045071,-0.063515592,21,100
Market-Adjusted Model,16188,2022-03-16,0.0135424365,-0.007439052,-0.049973156,21,100
Market-Adjusted Model,16247,2022-03-16,-0.120000025,-0.185269331,-0.183515618,21,100
Market-Adjusted Model,16250,2022-03-16,-0.142122191,-0.183831762,-0.205637783,21,100
Market-Adjusted Model,16251,2022-03-16,0.0308615874,-0.025298473,-0.032654005,21,100
Market-Adjusted Model,16252,2022-03-16,0.1115385415,0.0482926477,0.0480229491,21,100
Market-Adjusted Model,16253,2022-03-16,0.036105027,-0.024711024,-0.027410565,21,100
Market-Adjusted Model,16255,2022-03-16,0.2096605999,0.142558694,0.1461450075,21,100
Market-Adjusted Model,16258,2022-03-16,0.0200985102,-0.039510968,-0.043417082,21,100
Market-Adjusted Model,16260,2022-03-16,0.0762343783,0.0199509443,0.0127187859,21,100
Market-Adjusted Model,16261,2022-03-16,0.2466019402,0.1763335253,0.1830863478,21,100
Market-Adjusted Model,16263,2022-03-16,-0.088761902,-0.143620792,-0.152277494,21,100
Market-Adjusted Model,16271,2022-03-16,0.0318033708,-0.031394608,-0.031712222,21,100
Market-Adjusted Model,16274,2022-03-16,0.0660860079,0.0007960966,0.0025704155,21,100
Market-Adjusted Model,16276,2022-03-16,0.2997468369,0.2155243324,0.2362312445,21,100
Market-Adjusted Model,16277,2022-03-16,0.0828441288,0.0261802285,0.0193285364,21,100
Market-Adjusted Model,16281,2022-03-16,0.0169490794,-0.02179779,-0.046566513,21,100
Market-Adjusted Model,16283,2022-03-16,0.0165403012,-0.040115747,-0.046975291,21,100
Market-Adjusted Model,16284,2022-03-16,-0.033316502,-0.092592402,-0.096832094,21,100
Market-Adjusted Model,16285,2022-03-16,0.0071633058,-0.055813401,-0.056352287,21,100
Market-Adjusted Model,16287,2022-03-16,0.1741968746,0.1246440661,0.1106812822,21,100
Market-Adjusted Model,16288,2022-03-16,0.0301373682,-0.032948756,-0.033378224,21,100
Market-Adjusted Model,16289,2022-03-16,0.0405576966,-0.010980243,-0.022957896,21,100
Market-Adjusted Model,16290,2022-03-16,0.0274040413,-0.017882558,-0.036111551,21,100
Market-Adjusted Model,16291,2022-03-16,-0.004478437,-0.058550783,-0.06799403,21,100
Market-Adjusted Model,16292,2022-03-16,0.0286614882,-0.034768857,-0.034854104,21,100
Market-Adjusted Model,16293,2022-03-16,0.0721693985,0.0066509328,0.0086538061,21,100
Market-Adjusted Model,16294,2022-03-16,0.0593076513,0.0025431509,-0.004207941,21,100
Market-Adjusted Model,16295,2022-03-16,0.1144614427,0.0494172766,0.0509458503,21,100
Market-Adjusted Model,16296,2022-03-16,-0.004170053,-0.062370281,-0.067685645,21,100
Market-Adjusted Model,16297,2022-03-16,0.0698448473,0.0077552065,0.0063292548,21,100
Market-Adjusted Model,16302,2022-03-16,-0.065752584,-0.131588477,-0.129268176,21,100
Market-Adjusted Model,16303,2022-03-16,0.0027472463,-0.042842625,-0.060768346,21,100
Market-Adjusted Model,16304,2022-03-16,0.0078710332,-0.043849188,-0.055644559,21,100
Market-Adjusted Model,16305,2022-03-16,0.0395184415,-0.023405375,-0.023997151,21,100
Market-Adjusted Model,16307,2022-03-16,0.0509000367,-0.00997655,-0.012615556,21,100
Market-Adjusted Model,16308,2022-03-16,0.0362318494,0.0271276772,-0.027283743,21,100
Market-Adjusted Model,16309,2022-03-16,-0.12731487,-0.159373602,-0.190830463,21,100
Market-Adjusted Model,16310,2022-03-16,-0.122699408,-0.116441267,-0.186215,21,100
Market-Adjusted Model,16311,2022-03-16,-0.002258856,-0.066357781,-0.065774449,21,100
Market-Adjusted Model,16312,2022-03-16,0.0391149474,-0.023980409,-0.024400645,21,100
Market-Adjusted Model,16318,2022-03-16,-0.000387301,-0.051697653,-0.063902893,21,100
Market-Adjusted Model,16319,2022-03-16,0.0396620186,-0.020968496,-0.023853574,21,100
Market-Adjusted Model,16320,2022-03-16,0.0625346552,-0.001407652,-0.000980937,21,100
Market-Adjusted Model,16321,2022-03-16,0.0582550076,-0.005269275,-0.005260585,21,100
Market-Adjusted Model,16322,2022-03-16,0.0832132568,0.0188157534,0.0196976643,21,100
Market-Adjusted Model,16323,2022-03-16,0.0633943987,-0.001388234,-0.000121194,21,100
Market-Adjusted Model,16324,2022-03-16,0.0589569782,-0.005476036,-0.004558614,21,100
Market-Adjusted Model,16325,2022-03-16,0.0807134387,0.0147289305,0.0171978463,21,100
Market-Adjusted Model,16326,2022-03-16,0.0634614722,-0.001385532,-0.00005412,21,100
Market-Adjusted Model,16327,2022-03-16,-0.000700067,-0.064800109,-0.064215659,21,100
Market-Adjusted Model,16330,2022-03-16,-0.031446585,-0.095870541,-0.094962178,21,100
Market-Adjusted Model,16334,2022-03-16,-0.034080023,-0.098451642,-0.097595616,21,100
Market-Adjusted Model,16337,2022-03-16,-0.074916684,-0.141167901,-0.138432277,21,100
Market-Adjusted Model,16338,2022-03-16,0.0075997399,-0.049994951,-0.055915853,21,100
Market-Adjusted Model,16339,2022-03-16,-0.005734547,-0.065771069,-0.06925014,21,100
Market-Adjusted Model,16341,2022-03-16,0.0765706446,0.0103546659,0.0130550522,21,100
Market-Adjusted Model,16342,2022-03-16,0.0518441582,0.0230039182,-0.011671434,21,100
Market-Adjusted Model,16343,2022-03-16,-0.158073607,-0.194665098,-0.221589199,21,100
Market-Adjusted Model,16347,2022-03-16,0.1569059228,0.1037586653,0.0933903304,21,100
Market-Adjusted Model,16348,2022-03-16,-0.011095634,-0.072002484,-0.074611226,21,100
Market-Adjusted Model,16376,2022-03-16,0.2002243999,0.2105808119,0.1367088075,21,100
Market-Adjusted Model,16377,2022-03-16,-0.084745681,-0.139177053,-0.148261274,21,100
Market-Adjusted Model,16381,2022-03-16,-0.01540713,-0.069887643,-0.078922722,21,100
Market-Adjusted Model,16382,2022-03-16,-0.176894474,-0.198616194,-0.240410067,21,100
Market-Adjusted Model,16383,2022-03-16,0.1155989429,0.0660516244,0.0520833504,21,100
Market-Adjusted Model,16384,2022-03-16,0.0204081433,-0.000396218,0.0007149778,12,100
